id;title;release_date;genre;description;budget;gross_earnings;world_wide_earnings
614;Last Action Hero;7/30/1993;Action, Adventure, Comedy;With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.;85000000.0;50016394.0;137298489.0
615;Leprechaun;7/23/1993;Comedy, Fantasy, Horror;An evil, sadistic Leprechaun goes on a killing rampage in search of his beloved pot of gold.;900000.0;8556940.0;8556940.0
616;Little Buddha;12/1/1993;Drama;After the death of Lama Dorje, Tibetan Buddhist monks find three children - one American and two Nepalese - who may be the rebirth of their great teacher.;35000000.0;4858139.0;4858139.0
617;Look Who's Talking Now;5/27/1994;Comedy, Family, Romance;In this, the third film, it\'s the pets who do the talking. The Ubriacco\'s find themselves the owners of two dogs, Rocks, a street wise cross breed, and Daphne, a spoiled pedigree poodle. ...;22000000.0;10340263.0;10340263.0
618;Lost in Yonkers;5/14/1993;Comedy, Drama;In the summer of 1942, two young boys are sent to stay with their stern grandmother and their childlike aunt in Yonkers, New York.;15000000.0;9285189.0;9285189.0
619;Made in America;8/13/1993;Comedy;A young black woman discovers that her father was a sperm donor, and if that weren\'t bad enough, he\'s white.;22000000.0;44942695.0;104942695.0
620;Malice;2/11/1994;Crime, Mystery, Thriller;"A tale about a happily married couple who would like to have children. Tracy teaches art, Andy\'s a college dean. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor.";20000000.0;46405336.0;46405336.0
621;Man's Best Friend;11/19/1993;Comedy, Horror, Sci-Fi;A genetically engineered dog escapes from the science facility where it was created. A family takes it in unaware of its deadly instincts which soon emerge. The scientist who created the dog tries to find it before its too late.;6000000.0;12974636.0;12974636.0
622;Manhattan Murder Mystery;4/29/1994;Comedy, Mystery;A middle-aged couple suspects foul play when their neighbor\'s wife suddenly drops dead.;13500000.0;11330911.0;11330911.0
623;Married to It;3/26/1993;Comedy, Drama;Tale of three different couples (Yuppies, Hippies and Society Folk) who find some common ground and become friends after being assigned to the same school project. Their lives are turned ...;14000000.0;2059832.0;2059832.0
624;Matinee;1/29/1993;Comedy, Drama;A small-time film promoter releases a kitschy horror film during the Cuban Missile Crisis.;13000000.0;9532895.0;9532895.0
625;Menace II Society;5/26/1993;Crime, Drama, Thriller;A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.;3500000.0;27912072.0;27912072.0
626;The Meteor Man;8/6/1993;Action, Comedy, Fantasy;A high school teacher from a troubled inner city Washington D.C. neighborhood becomes a super-powered hero and takes on the gang that has been terrorizing his streets.;30000000.0;8016708.0;8016708.0
627;Money for Nothing;9/10/1993;Comedy, Crime, Drama;An unemployed man finds a money bag of $1.2 million after it dropped off an armored car.;11000000.0;1039824.0;1039824.0
