movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
85,Mrs. Doubtfire,PG-13,25000000,441286195,11/24/1993,Family,125,7,226146,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
86,Tombstone,R,25000000,56505065,12/25/1993,Drama,130,7.8,117576,"A successful lawmans plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating."
87,Philadelphia,PG-13,26000000,206678440,12/22/1993,Drama,125,7.7,210109,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
88,Dave,PG-13,28000000,63000000,5/7/1993,Comedy,110,6.8,46467,"To avoid a potentially explosive scandal when the U.S. President goes into a coma, an affable temp agency owner with an uncanny resemblance is put in his place."
89,Grumpy Old Men,PG-13,35100000,70200000,12/25/1993,Comedy,103,7,40509,A lifelong feud between two neighbors since childhood only gets worse when a new female neighbor moves across the street.
90,Indecent Proposal,R,38000000,266614059,4/7/1993,Drama,117,5.9,58078,A billionaire offers one million dollars to a young married couple for one night with the wife.
91,Sister Act 2: Back in the Habit,PG,38000000,57319029,12/9/1993,Comedy,107,5.6,45380,Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.
92,In the Line of Fire,R,40000000,176997168,7/8/1993,Crime,128,7.2,86650,"Secret Service agent Frank Horrigan couldnt save Kennedy, but hes determined not to let a clever assassin take out this president."
93,Rising Sun,R,40000000,107198790,7/30/1993,Thriller,125,6.2,40088,"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the companys executives and the investigating cop Tom Graham."
94,The Firm,R,42000000,270248367,6/30/1993,Mystery,154,6.8,108683,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
95,The Fugitive,PG-13,44000000,368875760,8/6/1993,Adventure,130,7.8,249811,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
96,The Pelican Brief,PG-13,45000000,195268056,12/16/1993,Crime,141,6.6,71238,"A law student uncovers a conspiracy, putting herself and others in danger."
97,Demolition Man,R,57000000,159055768,10/8/1993,Action,115,6.7,148329,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.
98,Cliffhanger,R,70000000,255000211,5/28/1993,Adventure,112,6.4,113299,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.
99,Jurassic Park III,PG-13,93000000,368800000,7/16/2001,Thriller,92,8.9,1690474,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants."
100,Pulp Fiction,R,8000000,213928762,9/10/1994,Thriller,154,8.9,1690474,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
101,Ace Ventura: Pet Detective,PG-13,15000000,107217396,2/4/1994,Comedy,86,6.9,260044,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.
102,Dumb and Dumber,PG-13,16000000,247275374,12/16/1994,Comedy,107,7.3,334497,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen, to return the briefcase to its owner."
103,The Santa Clause,PG,22000000,189833357,11/10/1994,Family,97,6.4,86610,"When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place."
104,The Mask,PG-13,23000000,351583407,7/29/1994,Romance,101,6.9,320839,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.
